iter	Passed	Remaining
288	948	2333
289	951	2330
290	955	2327
291	959	2325
292	962	2322
293	965	2319
294	969	2315
295	972	2311
296	976	2310
297	979	2307
298	982	2304
299	985	2300
300	989	2298
301	992	2294
302	995	2290
303	998	2286
304	1001	2282
305	1005	2280
306	1008	2277
307	1011	2273
308	1015	2270
309	1018	2266
310	1021	2263
311	1024	2259
312	1027	2255
313	1030	2252
314	1033	2248
315	1037	2246
316	1041	2243
317	1044	2239
318	1047	2235
319	1050	2232
320	1054	2230
321	1057	2226
322	1061	2223
323	1064	2220
324	1067	2216
325	1071	2214
326	1074	2210
327	1077	2207
328	1080	2204
329	1084	2200
330	1087	2197
331	1090	2193
332	1093	2189
333	1096	2186
334	1100	2183
335	1103	2180
336	1106	2176
337	1109	2173
338	1112	2169
339	1116	2166
340	1119	2164
341	1123	2160
342	1126	2157
343	1129	2153
344	1132	2150
345	1135	2147
346	1139	2143
347	1141	2139
348	1145	2135
349	1148	2133
350	1151	2129
351	1154	2126
352	1158	2122
353	1161	2118
354	1165	2116
355	1167	2112
356	1171	2109
357	1174	2105
358	1177	2102
359	1181	2100
360	1184	2096
361	1187	2093
362	1190	2089
363	1193	2085
364	1197	2082
365	1200	2078
366	1203	2076
367	1206	2072
368	1209	2069
369	1213	2065
370	1216	2061
371	1219	2058
372	1222	2055
373	1225	2051
374	1228	2048
375	1232	2045
376	1235	2041
377	1238	2038
378	1242	2035
379	1245	2032
380	1249	2029
381	1252	2025
382	1255	2022
383	1258	2019
384	1261	2015
385	1265	2012
386	1268	2009
387	1272	2006
388	1275	2003
389	1279	2000
390	1283	1998
391	1286	1995
392	1290	1993
393	1293	1989
394	1297	1987
395	1301	1984
396	1304	1981
397	1307	1978
398	1310	1974
399	1314	1971
400	1317	1968
401	1321	1965
402	1324	1962
403	1327	1958
404	1332	1957
405	1339	1959
406	1346	1961
407	1352	1962
408	1358	1962
409	1364	1963
410	1367	1959
411	1371	1957
412	1375	1955
413	1379	1952
414	1382	1948
415	1386	1947
416	1390	1943
417	1394	1941
418	1397	1937
419	1400	1934
420	1404	1931
421	1408	1929
422	1411	1926
423	1415	1922
424	1419	1920
425	1422	1916
426	1427	1914
427	1430	1911
428	1433	1908
429	1436	1904
430	1441	1902
431	1444	1899
432	1448	1896
433	1451	1892
434	1456	1891
435	1459	1887
436	1462	1884
437	1466	1881
438	1469	1878
439	1473	1874
440	1475	1870
441	1479	1867
442	1483	1864
443	1486	1860
444	1489	1858
445	1493	1854
446	1496	1851
447	1499	1848
448	1502	1844
449	1506	1841
450	1509	1837
451	1515	1837
452	1519	1834
453	1522	1830
454	1526	1827
455	1529	1824
456	1532	1821
457	1535	1817
458	1539	1814
459	1543	1811
460	1546	1807
461	1549	1804
462	1552	1801
463	1556	1797
464	1559	1794
465	1562	1790
466	1565	1786
467	1568	1783
468	1571	1779
469	1574	1775
470	1578	1772
471	1581	1769
472	1584	1765
473	1587	1762
474	1590	1758
475	1593	1754
476	1597	1751
477	1600	1747
478	1603	1743
479	1606	1740
480	1609	1736
481	1612	1733
482	1615	1729
483	1618	1725
484	1622	1722
485	1625	1718
486	1628	1715
487	1631	1711
488	1634	1707
489	1637	1704
490	1640	1700
491	1643	1697
492	1647	1694
493	1650	1690
494	1654	1687
495	1657	1683
496	1659	1680
497	1663	1676
498	1666	1673
499	1669	1669
500	1672	1666
501	1675	1662
502	1679	1659
503	1682	1655
504	1685	1651
505	1688	1648
506	1691	1644
507	1694	1641
508	1697	1637
509	1700	1634
510	1704	1630
511	1707	1627
512	1710	1623
513	1713	1620
514	1716	1616
515	1720	1613
516	1723	1610
517	1726	1606
518	1730	1603
519	1733	1599
520	1736	1596
521	1739	1592
522	1742	1589
523	1745	1585
524	1748	1582
525	1752	1578
526	1755	1575
527	1758	1572
528	1765	1572
529	1772	1571
530	1775	1568
531	1779	1565
532	1781	1561
533	1785	1557
534	1788	1554
535	1791	1550
536	1795	1547
537	1798	1544
538	1801	1540
539	1804	1537
540	1807	1533
541	1810	1530
542	1813	1526
543	1817	1523
544	1820	1520
545	1823	1516
546	1827	1513
547	1830	1509
548	1834	1507
549	1837	1503
550	1841	1500
551	1844	1496
552	1847	1493
553	1851	1490
554	1854	1486
555	1857	1483
556	1860	1479
557	1863	1476
558	1867	1473
559	1870	1469
560	1873	1466
561	1877	1462
562	1880	1459
563	1883	1456
564	1886	1452
565	1890	1449
566	1893	1445
567	1896	1442
568	1900	1439
569	1903	1436
570	1907	1432
571	1910	1429
572	1913	1426
573	1917	1423
574	1920	1419
575	1924	1416
576	1927	1413
577	1930	1409
578	1934	1406
579	1937	1402
580	1940	1399
581	1943	1395
582	1946	1392
583	1949	1388
584	1953	1385
585	1956	1382
586	1959	1378
587	1962	1374
588	1965	1371
589	1969	1368
590	1972	1364
591	1975	1361
592	1978	1358
593	1982	1354
594	1985	1351
595	1988	1348
596	1992	1344
597	1995	1341
598	1998	1337
599	2002	1335
600	2005	1331
601	2009	1328
602	2012	1324
603	2015	1321
604	2019	1318
605	2022	1315
606	2026	1311
607	2029	1308
608	2032	1305
609	2036	1301
610	2039	1298
611	2042	1294
612	2045	1291
613	2048	1287
614	2051	1284
615	2054	1281
616	2058	1277
617	2061	1274
618	2065	1271
619	2068	1267
620	2071	1264
621	2074	1260
622	2078	1257
623	2081	1254
624	2085	1251
625	2088	1247
626	2091	1244
627	2094	1240
628	2098	1237
629	2101	1234
630	2104	1230
631	2107	1227
632	2111	1223
633	2114	1220
634	2117	1216
635	2120	1213
636	2123	1210
637	2126	1206
638	2130	1203
639	2133	1200
640	2136	1196
641	2139	1193
642	2143	1190
643	2146	1186
644	2149	1183
645	2152	1179
646	2155	1176
647	2159	1173
648	2162	1169
649	2166	1166
650	2169	1162
651	2172	1159
652	2176	1156
653	2179	1153
654	2182	1149
655	2185	1146
656	2189	1143
657	2192	1139
658	2196	1136
659	2199	1132
660	2202	1129
661	2205	1126
662	2208	1122
663	2212	1119
664	2215	1115
665	2218	1112
666	2221	1109
667	2225	1105
668	2228	1102
669	2231	1099
670	2235	1095
671	2239	1092
672	2242	1089
673	2246	1086
674	2249	1083
675	2252	1079
676	2256	1076
677	2259	1072
678	2262	1069
679	2265	1066
680	2268	1062
681	2272	1059
682	2275	1056
683	2278	1052
684	2281	1049
685	2285	1046
686	2288	1042
687	2291	1039
688	2294	1035
689	2297	1032
690	2301	1029
691	2304	1025
692	2307	1022
693	2310	1018
694	2313	1015
695	2316	1011
696	2320	1008
697	2323	1005
698	2326	1001
699	2329	998
700	2333	995
701	2336	991
702	2340	988
703	2343	985
704	2346	981
705	2350	978
706	2353	975
707	2356	971
708	2359	968
709	2363	965
710	2366	961
711	2369	958
712	2373	955
713	2376	951
714	2379	948
715	2382	945
716	2385	941
717	2389	938
718	2392	934
719	2395	931
720	2398	928
721	2401	924
722	2405	921
723	2408	917
724	2411	914
725	2414	911
726	2417	907
727	2421	904
728	2424	901
729	2428	898
730	2431	894
731	2435	891
732	2438	888
733	2441	884
734	2445	881
735	2451	879
736	2458	877
737	2461	873
738	2465	870
739	2468	867
740	2472	864
741	2475	860
742	2478	857
743	2482	854
744	2485	850
745	2490	847
746	2493	844
747	2497	841
748	2500	837
749	2503	834
750	2507	831
751	2511	828
752	2514	824
753	2517	821
754	2521	818
755	2524	814
756	2528	811
757	2532	808
758	2535	805
759	2538	801
760	2541	798
761	2545	795
762	2548	791
763	2552	788
764	2555	784
765	2558	781
766	2562	778
767	2565	774
768	2569	771
769	2572	768
770	2576	765
771	2579	761
772	2582	758
773	2586	755
774	2589	751
775	2592	748
776	2596	745
777	2601	742
778	2604	738
779	2608	735
780	2612	732
781	2616	729
782	2619	725
783	2624	723
784	2627	719
785	2631	716
786	2635	713
787	2638	709
788	2641	706
789	2645	703
790	2648	699
791	2651	696
792	2655	693
793	2658	689
794	2662	686
795	2666	683
796	2669	680
797	2677	677
798	2682	674
799	2688	672
800	2694	669
801	2698	666
802	2704	663
803	2711	660
804	2717	658
805	2720	654
806	2723	651
807	2727	648
808	2730	644
809	2734	641
810	2737	637
811	2740	634
812	2744	631
813	2747	627
814	2750	624
815	2753	620
816	2756	617
817	2761	614
818	2763	610
819	2767	607
820	2770	604
821	2773	600
822	2777	597
823	2780	593
824	2785	590
825	2788	587
826	2792	584
827	2795	580
828	2800	577
829	2803	574
830	2807	570
831	2810	567
832	2814	564
833	2818	561
834	2822	557
835	2825	554
836	2829	550
837	2834	547
838	2839	544
839	2843	541
840	2846	538
841	2850	534
842	2853	531
843	2857	528
844	2861	524
845	2864	521
846	2867	517
847	2873	515
848	2881	512
849	2888	509
850	2894	506
851	2898	503
852	2902	500
853	2905	496
854	2909	493
855	2912	489
856	2916	486
857	2919	483
858	2923	479
859	2926	476
860	2930	473
861	2933	469
862	2936	466
863	2940	462
864	2943	459
865	2946	455
866	2950	452
867	2953	449
868	2959	446
869	2965	443
870	2971	440
871	2975	436
872	2978	433
873	2982	429
874	2985	426
875	2988	423
876	2992	419
877	2995	416
878	2998	412
879	3001	409
880	3005	405
881	3008	402
882	3011	399
883	3015	395
884	3018	392
885	3021	388
886	3025	385
887	3028	381
888	3031	378
889	3034	375
890	3037	371
891	3041	368
892	3044	364
893	3047	361
894	3050	357
895	3053	354
896	3057	351
897	3060	347
898	3063	344
899	3066	340
900	3069	337
901	3073	333
902	3076	330
903	3080	327
904	3083	323
905	3086	320
906	3089	316
907	3093	313
908	3096	309
909	3099	306
910	3102	303
911	3105	299
912	3108	296
913	3111	292
914	3114	289
915	3117	285
916	3121	282
917	3125	279
918	3128	275
919	3131	272
920	3134	268
921	3137	265
922	3140	262
923	3144	258
924	3147	255
925	3149	251
926	3153	248
927	3156	244
928	3159	241
929	3163	238
930	3166	234
931	3169	231
932	3172	227
933	3175	224
934	3179	221
935	3182	217
936	3185	214
937	3188	210
938	3191	207
939	3195	203
940	3198	200
941	3201	197
942	3205	193
943	3208	190
944	3211	186
945	3214	183
946	3217	180
947	3221	176
948	3224	173
949	3228	169
950	3231	166
951	3233	163
952	3237	159
953	3240	156
954	3244	152
955	3247	149
956	3250	146
957	3254	142
958	3257	139
959	3260	135
960	3263	132
961	3266	129
962	3270	125
963	3273	122
964	3277	118
965	3280	115
966	3283	112
967	3287	108
968	3290	105
969	3293	101
970	3296	98
971	3299	95
972	3303	91
973	3306	88
974	3310	84
975	3313	81
976	3316	78
977	3319	74
978	3322	71
979	3326	67
980	3329	64
981	3332	61
982	3336	57
983	3339	54
984	3343	50
985	3346	47
986	3349	44
987	3353	40
988	3356	37
989	3359	33
990	3362	30
991	3366	27
992	3369	23
993	3373	20
994	3376	16
995	3379	13
996	3383	10
997	3386	6
998	3389	3
999	3392	0
