iter	Logloss
0	0.662691989
1	0.6346349167
2	0.605279048
3	0.578972067
4	0.5623120241
5	0.5407084017
6	0.5226771995
7	0.5066458495
8	0.4931926571
9	0.4807330544
10	0.4706773044
11	0.4584313789
12	0.4501215462
13	0.4429311983
14	0.4311908156
15	0.4241682268
16	0.4151905705
17	0.406598205
18	0.3968523257
19	0.3891859675
20	0.3834718958
21	0.3750708073
22	0.3701261084
23	0.3649828361
24	0.3607794823
25	0.3551883601
26	0.3519634848
27	0.349019867
28	0.3430349355
29	0.3394574624
30	0.3371052843
31	0.3339860243
32	0.3313093212
33	0.328357242
34	0.3242693235
35	0.3197719224
36	0.3154200564
37	0.312221206
38	0.30928537
39	0.3069465482
40	0.3051168828
41	0.3036987138
42	0.3025643884
43	0.3004315401
44	0.2957294261
45	0.2945492707
46	0.2933470445
47	0.2902149351
48	0.2893275733
49	0.2878271451
50	0.285900731
51	0.2845022034
52	0.2832170229
53	0.281762496
54	0.280834919
55	0.2800487677
56	0.2768760036
57	0.2755598436
58	0.2740755204
59	0.27293136
60	0.2716114106
61	0.2706255179
62	0.2688336058
63	0.2668352908
64	0.2662723822
65	0.2647053478
66	0.264007826
67	0.2631350953
68	0.2621681233
69	0.2616683702
70	0.2601356599
71	0.2588332578
72	0.2581752145
73	0.2574179994
74	0.2559605946
75	0.2538953831
76	0.2535325416
77	0.2530860768
78	0.2528191905
79	0.2522016333
80	0.2516325097
81	0.2507960428
82	0.2491544162
83	0.2487694382
84	0.2478448915
85	0.247185948
86	0.2461831079
87	0.245557212
88	0.2445225906
89	0.2437199976
90	0.2430984342
91	0.2426477918
92	0.2421388559
93	0.2415542708
94	0.2410146726
95	0.2404969378
96	0.2398088195
97	0.2389543329
98	0.2387243586
99	0.2381160889
100	0.2373279831
101	0.2369551794
102	0.2367267054
103	0.2362473883
104	0.2360138369
105	0.2356416685
106	0.2353165615
107	0.2350296934
108	0.2345354183
109	0.2340066578
110	0.2334286526
111	0.2330680625
112	0.2326544653
113	0.2320333743
114	0.2314561224
115	0.2309940283
116	0.2305195324
